Probe Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description							
5900364	AK024680		HS.575038		HS.575038							
1710221	XM_933824.1	23117	LOC23117		LOC23117							
2480717	XM_938851.1	2213	FCGR2B		FCGR2B							
1300239	NM_017583.3	54765	TRIM44		TRIM44							
4480719	XM_936379.1	653895	LOC653895		LOC653895							
6020725	NM_001013579.1	158833	DGAT2L3		DGAT2L3							
3870215	XM_373469.3	387701	LOC387701		LOC387701							
2710020	BX093329		HS.133181		HS.133181							
290020	AA346998		HS.545755		HS.545755							
870110	NM_015492.4	56905	C15ORF39		C15ORF39							
7510243	NM_018921.2	56107	PCDHGA9		PCDHGA9							
4180259	NM_018921.2	56107	PCDHGA9		PCDHGA9							
7150059	NM_020799.2	57559	STAMBPL1		STAMBPL1							
2470450	AW236393		HS.539137		HS.539137							
1470398	BU568994		HS.372465		HS.372465							
2260747	AW337887		HS.545796		HS.545796							
5340180	NM_001007532.1	246744	STH		STH							
6110274	XM_292820.6	342979	LOC342979		LOC342979							
2570463	XM_001130874.1	728492	LOC728492		LOC728492							
4150010	XM_937104.1	648054	LOC648054		LOC648054							
7570154	AA527182		HS.136401		HS.136401							
6020544	NM_201625.1	160364	CLEC12A		CLEC12A							
1190064	XM_001128725.1	7364	UGT2B7		UGT2B7							
5420450	XM_001128725.1	7364	UGT2B7		UGT2B7							
830441	NM_152281.1	92344	SCYL1BP1		SCYL1BP1							
1400546	NM_152281.1	92344	SCYL1BP1		SCYL1BP1							
4230026	XM_932949.2	64283	RGNEF		RGNEF							
650102	XM_932949.2	64283	RGNEF		RGNEF							
3360368	XM_927776.1	643426	LOC643426		LOC643426							
3130152	AF088044		HS.551815		HS.551815							
2100176	NM_001006945.1	55791	C1ORF103		C1ORF103							
4230136	NM_030752.2	6950	TCP1		TCP1							
7160367	AA953490		HS.583388		HS.583388							
4260551	NM_001018060.1	150209	AIFM3		AIFM3							
4780731	BG215342		HS.336510		HS.336510							
6650189	NM_000319.3	5830	PEX5		PEX5							
6650692	NM_024710.1	79763	ISOC2		ISOC2							
5080746	NM_017939.1	55027	FLJ20718		FLJ20718							
3780097	CR736544		HS.518695		HS.518695							
6660333	NM_004153.2	4998	ORC1L		ORC1L							
6180280	XM_371829.3	389405	LOC389405		LOC389405							
4810470	AA039347		HS.542995		HS.542995							
7320189	BX351797		HS.559673		HS.559673							
2360681	BU588333		HS.546134		HS.546134							
1500307	NM_015132.3	23161	SNX13		SNX13							
1850044	BX106056		HS.161982		HS.161982							
5960372	AK090626		HS.545163		HS.545163							
2480719	NM_173685.1	286053	NSMCE2		NSMCE2							
2570411	AK091704		HS.565640		HS.565640							
2480672	BX107120		HS.158826		HS.158826							
2630356	NM_006659.2	10844	TUBGCP2		TUBGCP2							
6420520	NM_001250.4	958	CD40		CD40							
2640750	XM_937697.1	648628	LOC648628		LOC648628							
6400477	BU621701		HS.437797		HS.437797							
650553	NM_139343.1	274	BIN1		BIN1							
4780195	BM677967		HS.564191		HS.564191							
4250544	NM_032320.5	84280	BTBD10		BTBD10							
7320187	NM_007234.3	11258	DCTN3		DCTN3							
4760255	NM_004309.3	396	ARHGDIA		ARHGDIA							
3710372	AK125779		HS.452789		HS.452789							
4760674	NM_012224.1	4750	NEK1		NEK1							
4730168	NM_017827.2	54938	SARS2		SARS2							
3310608	XM_941991.1	650339	LOC650339		LOC650339							
6940338	XM_001133757.1	83450	LRRC48		LRRC48							
6180112	XM_943534.1	648993	LOC648993		LOC648993							
6960706	XM_943178.1	647543	LOC647543		LOC647543							
540717	NM_004793.2	9361	LONP1		LONP1							
50475	NM_006425.4	10569	SLU7		SLU7							
1030609	XM_930094.1	647083	LOC647083		LOC647083							
5570068	NM_002249.4	3782	KCNN3		KCNN3							
1570184	NM_002249.4	3782	KCNN3		KCNN3							
6520037	AW084405		HS.537754		HS.537754							
2650040	NM_014287.3	23420	NOMO1		NOMO1							
1430450	NM_014287.3	23420	NOMO1		NOMO1							
3310056	NM_014287.3	23420	NOMO1		NOMO1							
4900209	NM_012460.2	26520	TIMM9		TIMM9							
7400692	AA789322		HS.548339		HS.548339							
520431	NM_014819.3	9867	PJA2		PJA2							
5130397	BG621527		HS.445843		HS.445843							
6510553	NM_005224.2	1820	ARID3A		ARID3A							
4560520	XM_934125.1	285189	PLGLA1		PLGLA1							
5960196	NM_058165.2	116255	MOGAT1		MOGAT1							
3360129	AI379889		HS.579416		HS.579416							
4850010	AA781978		HS.537363		HS.537363							
6270445	NM_182767.3	55117	SLC6A15		SLC6A15							
290685	NM_182767.3	55117	SLC6A15		SLC6A15							
4920193	NM_000990.2	6157	RPL27A		RPL27A							
1740731	NM_145048.2	133015	C4ORF28		C4ORF28							
1340112	AI458011		HS.170439		HS.170439							
5860608	XM_940643.1	400948	LOC400948		LOC400948							
3140332	XM_934289.1	653352	LOC653352		LOC653352							
1580446	NM_005451.3	9260	PDLIM7		PDLIM7							
770639	NM_005451.3	9260	PDLIM7		PDLIM7							
2630524	BM664657		HS.463991		HS.463991							
7100544	CA841942		HS.443185		HS.443185							
3940192	BF508586		HS.565545		HS.565545							
6380242	NM_033012.2	8600	TNFSF11		TNFSF11							
6860427	XM_001129442.1	1474	CST6		CST6							
4010491	XM_001129442.1	1474	CST6		CST6							
6250326	NM_181599.2	140258	KRTAP13-1		KRTAP13-1							
3450367	AA454562		HS.546019		HS.546019							
5960259	AW449142		HS.257117		HS.257117							
5890162	NM_024688.1	79741	C10ORF68		C10ORF68							
1980014	NM_183043.1	6049	RNF6		RNF6							
940221	NM_173491.2	134353	LSM11		LSM11							
20717	NM_003214.3	7005	TEAD3		TEAD3							
1240482	NM_006014.3	8270	LAGE3		LAGE3							
4060280	NM_015939.3	51605	TRMT6		TRMT6							
3190482	XM_936850.1	647785	LOC647785		LOC647785							
3520092	NM_138765.2	581	BAX		BAX							
3290037	NM_003315.1	7266	DNAJC7		DNAJC7							
240040	XM_943884.1	79668	PARP8		PARP8							
450762	NM_021642.2	2212	FCGR2A		FCGR2A							
6860039	NM_173568.3	89766	UMODL1		UMODL1							
1300619	XM_942813.1	647456	LOC647456		LOC647456							
4070397	NM_033549.3	90933	TRIM41		TRIM41							
6350128	NM_024623.1	79676	OGFOD2		OGFOD2							
1780253	NR_002815.1	374491	LOC374491		LOC374491							
5220601	NR_002815.1	374491	LOC374491		LOC374491							
3170537	BF059718		HS.195349		HS.195349							
5390575	NM_006561.2	10659	CUGBP2		CUGBP2							
1580040	XR_017466.1	644623	LOC644623		LOC644623							
4850717	XR_017466.1	644623	LOC644623		LOC644623							
5420039	XR_017466.1	644623	LOC644623		LOC644623							
4220309	XR_017466.1	644623	LOC644623		LOC644623							
1980551	BF061500		HS.540840		HS.540840							
1340026	NM_018342.3	55314	TMEM144		TMEM144							
6330523	NM_153216.1	134187	POU5F2		POU5F2							
840246	AI564783		HS.563150		HS.563150							
770605	NM_001002844.1	54816	ZNF280D		ZNF280D							
5360538	XM_932852.1	643576	LOC643576		LOC643576							
7320707	XM_939368.1	654103	LOC654103		LOC654103							
5690639	NM_006329.2	10516	FBLN5		FBLN5							
4670441	NM_006329.2	10516	FBLN5		FBLN5							
7160433	NM_001079514.1	29855	UBN1		UBN1							
3870274	NM_001079514.1	29855	UBN1		UBN1							
1240537	BQ918895		HS.576319		HS.576319							
6900647	BC047556		HS.552276		HS.552276							
780678	NM_025008.3	54507	ADAMTSL4		ADAMTSL4							
10286	NM_025008.3	54507	ADAMTSL4		ADAMTSL4							
1260537	CB242622		HS.164406		HS.164406							
1770142	NM_014377.1	27000	DNAJC2		DNAJC2							
3850537	BE313630		HS.580469		HS.580469							
6560703	XM_001131199.1	283847	FLJ35894		FLJ35894							
780026	AI139013		HS.539385		HS.539385							
7150300	CF890823		HS.573580		HS.573580							
510128	NM_173653.1	285195	SLC9A9		SLC9A9							
3450296	CR737045		HS.578703		HS.578703							
6860053	XM_926863.2	643563	LOC643563		LOC643563							
580367	BM142657		HS.561492		HS.561492							
3170619	XM_001129099.1	731283	LOC731283		LOC731283							
2360066	NM_178127.2	253935	ANGPTL5		ANGPTL5							
580368	NM_007185.3	11189	TNRC4		TNRC4							
1770349	XM_937916.1	442388	LOC442388		LOC442388							
1440400	XM_940253.1	53842	CLDN22		CLDN22							
4900082	BX099310		HS.128892		HS.128892							
3420711	BX100006		HS.375537		HS.375537							
2120102	AI806752		HS.545415		HS.545415							
520608	NM_016132.3	50804	MYEF2		MYEF2							
6900440	NM_005984.1	6576	SLC25A1		SLC25A1							
3120014	NM_022060.2	63874	ABHD4		ABHD4							
3180619	XR_015310.1	643438	LOC643438		LOC643438							
7100575	NM_139289.1	8852	AKAP4		AKAP4							
5560450	NM_139289.1	8852	AKAP4		AKAP4							
4180762	NM_173087.1	825	CAPN3		CAPN3							
3610048	NM_001001563.1	92609	TIMM50		TIMM50							
1400192	CB133377		HS.389988		HS.389988							
6860014	AA897349		HS.405574		HS.405574							
2900224	NM_004901.2	9583	ENTPD4		ENTPD4							
3890253	AA927224		HS.544729		HS.544729							
2850433	NM_080861.3	90864	SPSB3		SPSB3							
5360689	NM_002763.3	5629	PROX1		PROX1							
2320343	NM_005491.2	10046	MAMLD1		MAMLD1							
1170170	NM_003714.2	8614	STC2		STC2							
2630594	AI863335		HS.211704		HS.211704							
110253	BE971021		HS.134945		HS.134945							
2510253	NM_145306.2	219738	C10ORF35		C10ORF35							
2680370	NM_006217.3	5276	SERPINI2		SERPINI2							
7560068	AK096928		HS.200644		HS.200644							
3060088	BQ023909		HS.364959		HS.364959							
4290167	CF552129		HS.554595		HS.554595							
940491	XM_932159.1	653472	LOC653472		LOC653472							
2030754	NM_032484.3	84514	GHDC		GHDC							
1190093	NM_203303.2	389874	ZCCHC13		ZCCHC13							
3610601	NM_173728.2	22899	ARHGEF15		ARHGEF15							
2810327	NM_014776.2	9815	GIT2		GIT2							
4540626	NM_014776.2	9815	GIT2		GIT2							
6380167	NM_020880.2	348327	ZNF530		ZNF530							
990162	NM_175874.2	144608	C12ORF60		C12ORF60							
2340605	NM_175874.2	144608	C12ORF60		C12ORF60							
4890682	CN272139		HS.563242		HS.563242							
4050131	NM_182947.1	115557	GEFT		GEFT							
2760139	AK095804		HS.90221		HS.90221							
4120403	NM_025234.1	80349	WDR61		WDR61							
4830601	XM_943829.1	649661	LOC649661		LOC649661							
4640082	NR_002716.1	6066	RNU2-1		RNU2-1							
4390202	NM_001504.1	2833	CXCR3		CXCR3							
2940121	BQ018438		HS.436464		HS.436464							
160537	NM_002035.1	2531	FVT1		FVT1							
1740242	NM_002035.1	2531	FVT1		FVT1							
10750	AW515180		HS.567029		HS.567029							
2600707	CF454867		HS.573062		HS.573062							
770465	AB027121		HS.334493		HS.334493							
4280040	BM458075		HS.555181		HS.555181							
110376	XM_934208.1	653468	LOC653468		LOC653468							
4230746	NR_002720.1	7221	TRPC2		TRPC2							
4610008	NR_002720.1	7221	TRPC2		TRPC2							
4490037	NM_006424.2	10568	SLC34A2		SLC34A2							
5700603	NM_024938.2	80003	PCNXL2		PCNXL2							
130717	NM_005720.2	10095	ARPC1B		ARPC1B							
4120468	AI204087		HS.517884		HS.517884							
6960102	AI434856		HS.543052		HS.543052							
270471	AI985134		HS.304650		HS.304650							
160300	XM_941705.1	652286	LOC652286		LOC652286							
7550392	NM_001033056.1	2752	GLUL		GLUL							
130392	NM_001033056.1	2752	GLUL		GLUL							
3390603	NM_005917.2	4190	MDH1		MDH1							
6650731	NM_002899.2	5947	RBP1		RBP1							
3460315	N63514		HS.542089		HS.542089							
2100168	DB302602		HS.579479		HS.579479							
7510707	NM_198256.2	1876	E2F6		E2F6							
5090291	NM_032852.2	84938	ATG4C		ATG4C							
2970528	NM_032852.2	84938	ATG4C		ATG4C							
2230246	AA581248		HS.539586		HS.539586							
2360603	NM_214710.2	400668	PRSSL1		PRSSL1							
1190082	NM_001040437.1	50854	C6ORF48		C6ORF48							
7150017	NM_001040437.1	50854	C6ORF48		C6ORF48							
6650592	NM_001040697.1	55293	UEVLD		UEVLD							
630053	NM_005187.4	863	CBFA2T3		CBFA2T3							
6280274	AV736391		HS.191591		HS.191591							
5310026	BQ214806		HS.311091		HS.311091							
5890309	XM_372840.3	391209	LOC391209		LOC391209							
6840441	NM_176891.3	338376	IFNE1		IFNE1							
6380541	NM_176891.3	338376	IFNE1		IFNE1							
3420615	NR_002771.1	79469	DLEU2L		DLEU2L							
3420433	NM_004169.3	6470	SHMT1		SHMT1							
2690528	NM_004169.3	6470	SHMT1		SHMT1							
3060379	NM_003003.1	6397	SEC14L1		SEC14L1							
4560066	NM_001040715.1	653319	LOC653319		LOC653319							
2190129	NM_032528.1	84620	ST6GAL2		ST6GAL2							
6200639	XM_944721.1	651495	LOC651495		LOC651495							
5360050	XM_941449.1	652115	LOC652115		LOC652115							
4060379	BC033557		HS.385604		HS.385604							
5550255	DB338491		HS.583678		HS.583678							
3520288	NM_001032279.1	9986	RCE1		RCE1							
6290187	NM_001032279.1	9986	RCE1		RCE1							
4150730	XM_939941.1	650853	LOC650853		LOC650853							
2600270	BU740879		HS.559851		HS.559851							
4010369	NM_152777.2	256369	C14ORF48		C14ORF48							
2690576	DB337736		HS.578107		HS.578107							
5870156	BM021345		HS.562812		HS.562812							
4050669	U79293		HS.159264		HS.159264							
6860592	XM_497141.2	441511	LOC441511		LOC441511							
110427	NM_201437.1	6917	TCEA1		TCEA1							
7160239	NM_006732.1	2354	FOSB		FOSB							
670437	AI201320		HS.538756		HS.538756							
5090129	XR_000589.1	390387	LOC390387		LOC390387							
1410398	NM_152523.1	151195	CCNYL1		CCNYL1							
2060112	NM_152523.1	151195	CCNYL1		CCNYL1							
7160326	XM_928115.1	643430	LOC643430		LOC643430							
6760468	AA992328		HS.542223		HS.542223							
6420170	NM_178549.2	339500	ZNF678		ZNF678							
1450731	NM_001098500.1	56243	KIAA1217		KIAA1217							
2000707	BG185492		HS.520477		HS.520477							
150379	AI694475		HS.562901		HS.562901							
5360161	AW006296		HS.551283		HS.551283							
2140743	NM_152317.2	120863	DEPDC4		DEPDC4							
6760519	XM_945802.1	650268	LOC650268		LOC650268							
3460553	XM_495885.3	440055	LOC440055		LOC440055							
6180601	XM_928337.1	645293	LOC645293		LOC645293							
6200615	XM_942540.1	9701	SAPS2		SAPS2							
7200402	NM_001002924.1	1176	AP3S1		AP3S1							
1440445	NM_080874.2	140458	ASB5		ASB5							
5270554	NM_080874.2	140458	ASB5		ASB5							
7050324	XM_931821.1	653366	LOC653366		LOC653366							
6760382	XM_935583.1	641841	LOC641841		LOC641841							
1260543	NM_020824.2	57584	ARHGAP21		ARHGAP21							
4250768	NM_004645.2	8161	COIL		COIL							
3390661	NM_032296.2	84256	FLYWCH1		FLYWCH1							
7380324	XM_934224.1	653468	LOC653468		LOC653468							
3930132	NM_080386.1	113457	TUBA3D		TUBA3D							
1240703	NM_080386.1	113457	TUBA3D		TUBA3D							
4480368	NM_032936.2	85025	TMEM60		TMEM60							
1850608	AK057304		HS.350697		HS.350697							
7560114	NM_173546.1	200942	KLHDC8B		KLHDC8B							
2940092	AI206720		HS.545123		HS.545123							
540564	NM_032023.3	83937	RASSF4		RASSF4							
10639	NM_032023.3	83937	RASSF4		RASSF4							
2470167	XM_499019.2	441119	LOC441119		LOC441119							
160612	NM_007283.5	11343	MGLL		MGLL							
3830327	NM_007283.5	11343	MGLL		MGLL							
7210736	NM_000818.1	2572	GAD2		GAD2							
4880440	XM_928128.1	643431	LOC643431		LOC643431							
4260288	CR742604		HS.559868		HS.559868							
6980338	XM_939635.1	650549	LOC650549		LOC650549							
6860138	NM_030795.2	81551	STMN4		STMN4							
6280392	NM_173464.2	91133	L3MBTL4		L3MBTL4							
4180711	NM_134441.1	6019	RLN2		RLN2							
6200113	XM_930921.1	653066	LOC653066		LOC653066							
110072	NM_001039948.2	129049	SGSM1		SGSM1							
840364	NM_001039948.2	129049	SGSM1		SGSM1							
2190349	NM_170737.1	3772	KCNJ15		KCNJ15							
3460544	BM979422		HS.97553		HS.97553							
870176	NM_001007565.1	10342	TFG		TFG							
110079	XM_001126824.1	116039	OSR2		OSR2							
5420452	XM_001126824.1	116039	OSR2		OSR2							
510114	NM_182851.1	57820	CCNB1IP1		CCNB1IP1							
3130095	NM_182851.1	57820	CCNB1IP1		CCNB1IP1							
2970703	NM_017831.3	54941	RNF125		RNF125							
1030113	AI222328		HS.147846		HS.147846							
2360121	NM_001039656.1	9633	MTL5		MTL5							
7100392	XM_926231.1	641455	P704P		P704P							
6770093	BQ024688		HS.565707		HS.565707							
4120243	NM_002784.2	5678	PSG9		PSG9							
4060273	NM_001008749.1	401409	RAB19		RAB19							
4250022	AI084979		HS.122133		HS.122133							
520630	NM_001042432.1	1201	CLN3		CLN3							
2120164	XM_942165.1	652624	LOC652624		LOC652624							
6620390	AK127526		HS.553187		HS.553187							
6450288	NM_021097.2	6546	SLC8A1		SLC8A1							
2350201	NM_181670.2	56899	ANKS1B		ANKS1B							
6110379	NM_172005.1	164237	WFDC13		WFDC13							
20674	XM_936152.1	642072	LOC642072		LOC642072							
450431	NM_199424.1	11060	WWP2		WWP2							
5560209	NM_004397.3	1656	DDX6		DDX6							
870279	BG191255		HS.334424		HS.334424							
4890482	XM_001126260.1	727851	LOC727851		LOC727851							
840224	AI953363		HS.552468		HS.552468							
5390243	XM_944646.1	651401	LOC651401		LOC651401							
2470681	NR_003608.1	113691	MGC16703		MGC16703							
